M,S,1,49
L,S,110277,9538,9
L,B,110278,9541,13
L,S,110279,9551,35
M,B,110280,1
L,S,110281,9545,10
L,B,110282,9548,42
L,B,110283,9553,4
L,S,110284,9539,12
L,S,110285,9545,7
L,S,110286,9563,17
L,S,110287,9547,20
L,B,110288,9547,21
C,109659
M,S,110290,46
C,106919
M,S,110292,24
L,S,110293,9560,20
L,B,110294,9555,16
L,S,110295,9556,3
L,B,110296,9561,36
L,B,110297,9557,15
L,S,110298,9554,24
L,S,110299,9554,1
L,S,110300,9549,16
L,S,110301,9553,24
L,S,110302,9554,10
L,S,110303,9559,44
L,B,110304,9573,18
L,B,110305,9570,14
L,B,110306,9559,29
L,S,110307,9559,37
M,S,110308,4
L,S,110309,9555,20
L,B,110310,9555,49
L,B,110311,9560,18
L,S,110312,9562,23
L,S,110313,9558,49
L,B,110314,9552,28
L,S,110315,9559,49
L,S,110316,9543,10
L,B,110317,9557,11
L,B,110318,9564,34
M,B,110319,6
L,S,110320,9558,10
L,B,110321,9556,44
L,B,110322,9556,42
L,S,110323,9550,12
L,S,110324,9559,11
L,B,110325,9556,40
L,B,110326,9539,49
L,B,110327,9558,40
L,S,110328,9549,12
L,B,110329,9546,13
L,B,110330,9559,26
L,S,110331,9554,26
L,S,110332,9552,11
L,S,110333,9555,26
C,105607
C,107228
C,109751
L,S,110337,9565,44
L,S,110338,9546,5
C,105530
L,B,110340,9552,35
L,B,110341,9552,15
L,B,110342,9548,3
C,110320
C,109012
L,B,110345,9543,49
L,S,110346,9558,3
L,S,110347,9551,3
L,S,110348,9573,39
L,B,110349,9548,25
L,S,110350,9556,39
L,S,110351,9556,14
C,109740
L,S,110353,9559,43
L,B,110354,9559,1
C,109545
L,B,110356,9556,12
L,B,110357,9551,40
L,S,110358,9555,26
L,B,110359,9546,30
L,B,110360,9554,48
C,109206
L,B,110362,9559,48
L,S,110363,9558,8
L,B,110364,9551,35
L,B,110365,9548,27
L,B,110366,9551,2
L,B,110367,9564,46
L,B,110368,9569,4
L,S,110369,9548,6
L,S,110370,9555,45
M,B,110371,48
L,B,110372,9569,17
C,108439
L,B,110374,9551,18
L,B,110375,9554,39
L,S,110376,9557,21
C,108536
L,S,110378,9559,42
L,S,110379,9567,11
L,B,110380,9556,21
L,B,110381,9562,14
L,S,110382,9546,16
L,B,110383,9556,50
L,B,110384,9551,31
M,B,110385,46
L,S,110386,9560,28
L,S,110387,9563,19
L,S,110388,9553,32
C,105373
C,108456
L,B,110391,9543,10
M,S,110392,50
C,108740
L,S,110394,9556,43
L,B,110395,9562,40
L,S,110396,9554,30
C,107447
L,B,110398,9547,29
L,S,110399,9557,26
L,B,110400,9559,36
L,B,110401,9565,45
L,B,110402,9564,13
L,B,110403,9562,28
L,B,110404,9557,15
L,B,110405,9563,35
L,B,110406,9559,8
M,B,110407,18
L,S,110408,9571,12
L,S,110409,9561,28
M,B,110410,49
L,S,110411,9570,31
L,B,110412,9572,25
L,S,110413,9564,47
L,B,110414,9564,27
L,B,110415,9564,50
L,B,110416,9562,2
L,B,110417,9548,30
L,S,110418,9558,46
L,S,110419,9558,6
L,B,110420,9560,50
L,S,110421,9560,7
C,105438
L,B,110423,9554,30
L,S,110424,9553,25
L,B,110425,9552,39
L,B,110426,9559,43
M,S,110427,57
M,S,110428,32
M,S,110429,40
L,S,110430,9564,35
L,B,110431,9556,25
L,B,110432,9562,19
L,B,110433,9553,14
L,S,110434,9541,47
L,S,110435,9557,45
L,S,110436,9560,44
L,S,110437,9563,21
M,S,110438,58
L,B,110439,9552,6
L,S,110440,9553,24
L,B,110441,9555,25
L,S,110442,9563,19
L,S,110443,9558,45
C,108935
C,105518
M,B,110446,37
L,S,110447,9557,18
C,107679
L,S,110449,9552,35
L,B,110450,9552,27
L,B,110451,9541,21
L,S,110452,9547,37
L,S,110453,9561,33
L,S,110454,9554,49
L,S,110455,9554,33
L,S,110456,9552,34
L,S,110457,9557,39
L,S,110458,9560,24
L,S,110459,9552,39
L,S,110460,9558,16
L,B,110461,9559,15
C,107578
L,B,110463,9555,17
L,B,110464,9544,8
L,B,110465,9554,30
L,S,110466,9552,10
C,108459
C,108908
L,S,110469,9554,50
L,S,110470,9565,49
L,B,110471,9564,26
L,S,110472,9548,17
C,105507
L,S,110474,9580,42
L,B,110475,9572,14
L,B,110476,9558,28
L,S,110477,9568,48
L,B,110478,9562,17
M,S,110479,14
L,B,110480,9561,30
L,S,110481,9564,35
M,B,110482,15
M,B,110483,41
L,B,110484,9559,47
C,106984
L,S,110486,9565,42
C,109127
L,B,110488,9556,38
L,S,110489,9560,32
L,S,110490,9567,10
L,S,110491,9562,34
L,S,110492,9561,16
L,B,110493,9562,3
L,B,110494,9563,13
L,B,110495,9565,15
L,S,110496,9566,28
L,S,110497,9562,9
C,108668
L,B,110499,9562,44
L,B,110500,9556,7
L,B,110501,9551,16
L,B,110502,9569,17
L,B,110503,9567,33
L,B,110504,9574,32
L,S,110505,9560,36
L,S,110506,9552,43
L,S,110507,9564,7
L,B,110508,9563,8
L,B,110509,9567,19
L,B,110510,9559,2
L,S,110511,9573,27
L,B,110512,9575,35
C,110105
L,B,110514,9559,12
L,S,110515,9583,30
L,S,110516,9564,20
L,B,110517,9559,39
C,108477
L,S,110519,9553,23
L,B,110520,9552,25
L,S,110521,9563,5
L,B,110522,9565,44
L,B,110523,9566,12
L,B,110524,9562,28
L,S,110525,9566,42
L,B,110526,9548,27
C,107240
L,S,110528,9550,18
L,B,110529,9572,15
C,110324
M,B,110531,52
C,108033
L,S,110533,9567,20
L,S,110534,9570,13
L,S,110535,9568,41
M,B,110536,24
C,107188
C,110019
C,109156
L,B,110540,9559,20
L,B,110541,9563,16
L,S,110542,9565,6
L,B,110543,9563,20
C,107073
C,106316
C,106748
C,107386
M,B,110548,36
C,110433
L,B,110550,9564,4
L,B,110551,9563,28
L,B,110552,9573,40
M,B,110553,53
L,S,110554,9549,38
L,B,110555,9554,28
C,107127
L,S,110557,9560,35
L,B,110558,9564,9
L,S,110559,9553,2
C,106426
L,S,110561,9545,20
L,B,110562,9562,30
C,109736
L,B,110564,9565,25
L,B,110565,9555,47
C,108479
L,B,110567,9550,41
L,S,110568,9565,26
M,B,110569,44
C,106860
L,B,110571,9565,44
C,106421
L,B,110573,9539,38
L,B,110574,9561,4
L,S,110575,9559,39
C,110149
C,106107
L,S,110578,9560,46
L,S,110579,9565,3
L,B,110580,9561,6
C,109872
L,S,110582,9579,16
L,S,110583,9558,46
L,B,110584,9571,21
L,B,110585,9561,49
L,B,110586,9563,3
L,B,110587,9573,26
L,S,110588,9567,9
C,110561
L,B,110590,9550,43
C,106842
M,B,110592,51
L,S,110593,9568,43
L,B,110594,9562,10
L,S,110595,9568,9
C,106399
L,S,110597,9558,18
L,B,110598,9578,12
L,S,110599,9561,21
L,S,110600,9556,6
M,S,110601,4
L,S,110602,9563,20
L,B,110603,9552,10
L,S,110604,9559,2
L,B,110605,9554,33
C,108158
L,S,110607,9575,17
L,B,110608,9565,45
L,S,110609,9559,38
C,106790
L,B,110611,9559,25
L,S,110612,9558,12
L,S,110613,9556,2
L,B,110614,9564,37
L,B,110615,9564,27
L,S,110616,9550,37
L,B,110617,9564,38
M,S,110618,40
L,B,110619,9556,41
L,S,110620,9566,46
M,S,110621,49
L,S,110622,9566,21
L,B,110623,9560,28
L,B,110624,9562,10
C,108519
L,S,110626,9557,17
L,S,110627,9563,25
L,S,110628,9555,40
L,S,110629,9561,32
L,B,110630,9562,36
L,B,110631,9558,35
M,B,110632,54
L,S,110633,9561,18
L,S,110634,9551,10
L,B,110635,9560,3
L,B,110636,9565,18
L,S,110637,9570,28
C,109926
L,S,110639,9559,35
L,B,110640,9558,50
M,S,110641,10
C,109766
L,B,110643,9566,41
L,S,110644,9554,10
C,107084
L,B,110646,9569,11
C,107113
L,B,110648,9563,30
M,S,110649,18
L,B,110650,9571,34
C,108565
L,S,110652,9563,2
M,S,110653,58
M,S,110654,9
L,S,110655,9546,45
M,S,110656,30
M,S,110657,19
L,S,110658,9572,5
M,S,110659,35
M,B,110660,49
M,S,110661,7
L,B,110662,9586,25
L,S,110663,9576,12
M,S,110664,44
L,B,110665,9567,41
L,B,110666,9564,25
L,B,110667,9573,36
L,B,110668,9570,48
L,B,110669,9576,45
L,S,110670,9568,18
L,S,110671,9576,19
L,S,110672,9567,50
M,B,110673,52
L,S,110674,9573,27
L,S,110675,9572,15
L,B,110676,9569,8
L,B,110677,9571,29
L,B,110678,9582,50
L,B,110679,9566,6
L,B,110680,9571,4
L,B,110681,9571,7
L,B,110682,9574,14
L,S,110683,9569,14
C,106606
L,S,110685,9572,25
L,S,110686,9580,15
L,S,110687,9558,35
L,S,110688,9566,3
C,108286
C,110187
L,S,110691,9561,45
L,B,110692,9566,11
L,B,110693,9588,8
L,S,110694,9570,16
L,S,110695,9563,5
C,108224
L,B,110697,9560,16
L,S,110698,9574,16
L,B,110699,9565,26
L,S,110700,9580,12
C,110072
M,S,110702,18
M,B,110703,58
L,S,110704,9558,41
L,S,110705,9569,5
L,S,110706,9568,12
L,S,110707,9576,48
L,B,110708,9560,11
L,S,110709,9583,35
L,B,110710,9563,24
C,107716
C,107783
M,S,110713,34
L,S,110714,9563,45
C,110027
L,S,110716,9563,45
C,108805
L,B,110718,9562,26
C,108392
M,S,110720,38
L,B,110721,9573,14
C,110519
L,B,110723,9568,40
L,B,110724,9576,12
L,B,110725,9579,44
L,S,110726,9561,15
L,S,110727,9577,28
C,107427
L,B,110729,9556,47
L,S,110730,9565,36
C,110604
L,S,110732,9558,33
L,S,110733,9571,21
C,107575
C,108710
C,108134
L,B,110737,9566,5
L,B,110738,9560,33
L,B,110739,9563,41
L,B,110740,9562,43
L,S,110741,9573,30
L,B,110742,9572,27
L,B,110743,9551,18
L,B,110744,9565,18
L,B,110745,9576,3
L,B,110746,9571,49
L,S,110747,9574,3
L,S,110748,9569,8
C,106791
L,B,110750,9569,47
L,S,110751,9574,38
L,B,110752,9562,40
L,S,110753,9572,25
L,B,110754,9571,37
C,110495
L,B,110756,9574,48
L,S,110757,9562,25
L,B,110758,9562,43
L,S,110759,9565,33
L,S,110760,9561,29
L,B,110761,9561,35
C,108147
C,106245
C,109483
L,B,110765,9552,48
M,S,110766,17
L,B,110767,9566,42
L,B,110768,9568,17
L,S,110769,9566,5
C,108249
M,S,110771,52
L,B,110772,9580,6
L,B,110773,9578,29
L,S,110774,9567,10
L,B,110775,9570,41
L,S,110776,9577,5
L,B,110777,9560,33
L,S,110778,9573,32
L,S,110779,9573,37
C,107732
L,S,110781,9568,19
L,S,110782,9570,28
L,B,110783,9566,22
C,106554
L,S,110785,9564,37
L,S,110786,9568,17
L,S,110787,9571,1
L,S,110788,9579,34
L,S,110789,9575,23
L,B,110790,9568,7
L,B,110791,9578,17
L,S,110792,9570,18
M,S,110793,59
L,S,110794,9575,45
L,B,110795,9579,50
L,B,110796,9564,32
L,B,110797,9569,6
L,S,110798,9571,37
L,B,110799,9569,10
L,B,110800,9570,34
C,108039
L,B,110802,9567,18
L,B,110803,9565,20
L,B,110804,9578,21
L,S,110805,9576,2
L,B,110806,9569,30
L,B,110807,9583,3
L,S,110808,9573,10
L,B,110809,9579,1
C,106528
L,B,110811,9586,8
L,S,110812,9573,47
L,S,110813,9576,9
L,B,110814,9581,12
L,B,110815,9573,39
C,109052
L,B,110817,9587,33
L,S,110818,9586,38
L,B,110819,9579,34
C,110018
L,S,110821,9574,14
L,B,110822,9572,27
L,S,110823,9581,26
L,S,110824,9587,2
L,S,110825,9580,44
L,B,110826,9568,38
L,S,110827,9565,41
L,S,110828,9566,39
C,107432
L,B,110830,9574,9
L,S,110831,9572,7
C,107254
L,B,110833,9560,50
L,S,110834,9579,38
L,B,110835,9577,6
L,B,110836,9581,42
L,B,110837,9565,18
L,B,110838,9570,10
M,B,110839,35
L,S,110840,9573,40
C,107111
M,B,110842,60
L,B,110843,9577,40
L,S,110844,9577,42
L,S,110845,9579,26
L,B,110846,9566,2
L,B,110847,9589,29
L,B,110848,9584,10
C,108328
M,S,110850,52
L,S,110851,9575,13
L,S,110852,9580,28
L,S,110853,9570,25
L,S,110854,9580,15
L,B,110855,9581,49
L,B,110856,9567,11
L,B,110857,9563,1
L,S,110858,9572,22
L,B,110859,9571,31
L,B,110860,9563,33
M,S,110861,47
L,S,110862,9571,16
L,B,110863,9572,25
L,S,110864,9563,21
L,B,110865,9565,30
L,B,110866,9585,16
L,S,110867,9578,14
L,S,110868,9547,33
L,B,110869,9565,37
L,B,110870,9569,39
L,S,110871,9566,4
C,110779
L,B,110873,9567,39
L,B,110874,9564,21
L,B,110875,9555,38
L,S,110876,9562,9
L,B,110877,9566,45
L,S,110878,9558,1
L,S,110879,9573,11
L,B,110880,9564,9
L,B,110881,9584,39
L,B,110882,9558,12
L,B,110883,9569,50
L,S,110884,9578,9
C,106457
L,S,110886,9569,32
M,B,110887,38
C,109401
L,S,110889,9564,34
C,107024
C,110080
L,S,110892,9563,7
C,108292
C,108849
L,B,110895,9571,17
L,B,110896,9567,31
L,B,110897,9559,18
C,106277
L,S,110899,9564,20
L,S,110900,9550,5
L,B,110901,9564,35
L,S,110902,9577,4
L,B,110903,9572,45
L,S,110904,9561,12
L,B,110905,9567,4
L,S,110906,9557,37
L,S,110907,9577,9
L,B,110908,9565,42
L,B,110909,9573,23
L,B,110910,9565,50
L,B,110911,9565,43
L,B,110912,9578,44
L,B,110913,9565,13
L,B,110914,9570,1
C,109740
M,S,110916,29
C,108358
L,S,110918,9565,5
L,B,110919,9558,35
L,B,110920,9567,22
C,109140
L,S,110922,9563,47
L,S,110923,9567,21
L,S,110924,9568,33
L,B,110925,9569,31
C,110760
L,S,110927,9563,12
L,B,110928,9559,46
M,B,110929,22
L,S,110930,9562,44
L,S,110931,9559,7
M,S,110932,42
L,S,110933,9556,32
C,109501
L,S,110935,9560,8
L,B,110936,9566,5
C,110475
L,S,110938,9568,20
C,106514
M,S,110940,5
C,109759
L,S,110942,9558,31
L,B,110943,9586,31
L,B,110944,9569,2
L,B,110945,9565,12
L,S,110946,9555,28
L,B,110947,9570,34
C,110472
C,109073
L,S,110950,9576,38
L,S,110951,9573,40
L,S,110952,9562,10
L,S,110953,9564,2
L,S,110954,9553,1
L,S,110955,9565,2
L,S,110956,9567,41
L,B,110957,9555,44
L,S,110958,9554,48
M,B,110959,20
L,B,110960,9564,3
L,B,110961,9567,36
M,S,110962,41
C,110465
L,S,110964,9552,44
L,S,110965,9556,47
L,B,110966,9563,8
L,S,110967,9559,48
L,B,110968,9560,11
L,S,110969,9568,42
L,S,110970,9558,35
L,S,110971,9560,49
L,B,110972,9559,48
L,S,110973,9554,6
L,S,110974,9555,17
L,S,110975,9551,39
L,B,110976,9569,11
M,B,110977,36
L,S,110978,9554,22
L,S,110979,9554,32
L,B,110980,9555,12
L,B,110981,9561,5
L,S,110982,9555,23
L,B,110983,9550,9
L,S,110984,9554,45
M,S,110985,2
L,B,110986,9556,21
L,B,110987,9547,35
L,S,110988,9557,23
L,S,110989,9556,48
L,S,110990,9556,35
L,B,110991,9556,34
L,S,110992,9559,45
L,S,110993,9547,22
L,S,110994,9566,37
L,B,110995,9548,28
L,B,110996,9553,45
C,106152
L,S,110998,9561,2
L,S,110999,9556,14
M,S,111000,51
L,B,111001,9552,50
L,B,111002,9557,4
L,B,111003,9553,3
L,B,111004,9552,41
L,B,111005,9551,48
L,B,111006,9559,32
L,S,111007,9546,23
L,S,111008,9557,11
C,110999
L,S,111010,9553,34
L,B,111011,9560,4
L,B,111012,9564,24
L,B,111013,9548,36
C,109660
C,107340
L,B,111016,9553,23
L,S,111017,9560,22
L,B,111018,9567,25
L,B,111019,9570,20
L,S,111020,9563,25
L,S,111021,9556,43
C,108129
L,B,111023,9568,31
L,S,111024,9561,21
L,B,111025,9548,40
L,S,111026,9559,9
M,B,111027,2
L,B,111028,9551,25
L,B,111029,9574,46
L,S,111030,9570,12
L,B,111031,9558,25
L,B,111032,9543,5
L,S,111033,9557,49
L,B,111034,9567,31
M,S,111035,33
C,107246
L,B,111037,9562,25
C,108857
L,S,111039,9565,8
L,B,111040,9547,16
L,B,111041,9559,36
L,B,111042,9555,49
L,B,111043,9565,13
C,109747
L,S,111045,9571,36
L,S,111046,9572,45
L,B,111047,9546,25
L,S,111048,9562,35
L,S,111049,9545,22
C,106201
L,B,111051,9562,20
L,S,111052,9560,36
L,S,111053,9557,40
L,B,111054,9558,42
C,108668
M,B,111056,4
C,109786
L,S,111058,9566,7
L,S,111059,9572,24
L,B,111060,9559,16
L,B,111061,9563,17
L,B,111062,9562,46
L,S,111063,9558,38
L,B,111064,9562,18
L,S,111065,9559,8
M,B,111066,1
L,B,111067,9558,40
L,S,111068,9558,11
C,110500
L,B,111070,9563,20
L,B,111071,9567,26
L,B,111072,9564,10
C,108564
L,B,111074,9549,45
L,S,111075,9566,9
L,B,111076,9563,39
L,S,111077,9549,13
L,S,111078,9572,46
L,B,111079,9553,33
L,B,111080,9553,2
L,B,111081,9559,38
L,S,111082,9561,30
L,S,111083,9563,6
C,107227
C,110248
C,109495
L,S,111087,9557,34
L,B,111088,9559,20
C,106477
L,S,111090,9563,36
L,B,111091,9572,26
C,108725
L,B,111093,9566,38
L,B,111094,9565,34
L,B,111095,9560,19
L,S,111096,9559,29
C,109404
L,B,111098,9565,6
L,S,111099,9562,7
L,B,111100,9559,39
L,B,111101,9566,44
L,S,111102,9550,11
L,B,111103,9558,1
L,S,111104,9562,42
L,B,111105,9548,17
L,S,111106,9572,38
C,110534
L,S,111108,9551,50
M,S,111109,48
L,B,111110,9560,29
C,106211
M,S,111112,59
L,S,111113,9568,24
L,S,111114,9568,2
L,B,111115,9564,5
L,S,111116,9566,17
L,S,111117,9561,4
L,B,111118,9546,29
L,B,111119,9553,43
L,S,111120,9562,49
L,S,111121,9567,30
L,S,111122,9565,29
M,B,111123,50
L,S,111124,9560,17
L,B,111125,9565,35
L,S,111126,9572,39
L,B,111127,9575,45
L,B,111128,9554,35
C,106594
L,B,111130,9559,45
M,S,111131,47
L,S,111132,9560,20
L,B,111133,9557,7
L,B,111134,9562,27
L,B,111135,9555,18
L,S,111136,9554,42
L,B,111137,9557,34
L,S,111138,9572,26
L,S,111139,9563,30
L,B,111140,9571,13
C,106243
L,S,111142,9561,16
C,107468
C,106633
C,107821
L,S,111146,9551,17
L,S,111147,9560,50
L,S,111148,9569,28
L,S,111149,9557,47
M,S,111150,60
C,108606
M,S,111152,50
L,S,111153,9549,31
L,S,111154,9556,8
L,B,111155,9553,8
L,S,111156,9573,22
L,B,111157,9560,10
L,S,111158,9575,33
M,S,111159,59
C,108212
L,S,111161,9564,4
C,108172
L,B,111163,9565,9
L,S,111164,9563,6
L,S,111165,9564,6
L,B,111166,9568,34
C,110267
L,S,111168,9568,18
L,B,111169,9563,44
L,S,111170,9572,15
L,S,111171,9564,46
M,S,111172,37
L,S,111173,9560,21
M,B,111174,58
C,110214
L,B,111176,9566,14
M,S,111177,2
L,B,111178,9560,48
L,S,111179,9559,47
L,S,111180,9552,28
L,B,111181,9559,44
L,S,111182,9559,10
L,S,111183,9563,3
C,106142
L,B,111185,9556,5
M,B,111186,19
L,S,111187,9561,13
L,B,111188,9553,34
L,B,111189,9553,42
L,B,111190,9556,10
M,S,111191,30
L,S,111192,9565,5
L,B,111193,9570,15
C,108963
C,107808
L,B,111196,9560,20
L,S,111197,9556,12
C,106301
L,B,111199,9555,31
L,B,111200,9558,14
L,B,111201,9569,33
L,B,111202,9563,45
L,B,111203,9554,3
L,S,111204,9566,49
L,B,111205,9564,11
L,S,111206,9554,12
L,S,111207,9570,30
L,B,111208,9563,17
M,B,111209,18
L,S,111210,9558,31
L,S,111211,9552,49
L,S,111212,9551,24
L,S,111213,9560,7
L,B,111214,9558,40
M,B,111215,56
L,B,111216,9556,6
L,B,111217,9553,28
L,B,111218,9571,13
L,S,111219,9564,22
L,B,111220,9549,35
L,S,111221,9552,47
L,B,111222,9557,40
M,B,111223,35
L,B,111224,9550,35
L,S,111225,9550,8
L,S,111226,9553,39
M,S,111227,51
L,B,111228,9554,34
L,S,111229,9553,2
L,S,111230,9567,6
L,S,111231,9547,12
C,110636
C,106941
L,S,111234,9556,9
L,S,111235,9566,39
L,B,111236,9544,8
C,106779
L,S,111238,9558,22
L,B,111239,9553,50
L,B,111240,9561,37
L,S,111241,9558,17
L,B,111242,9562,7
M,B,111243,43
M,B,111244,26
L,B,111245,9557,9
L,B,111246,9554,38
L,S,111247,9551,11
L,B,111248,9552,24
L,B,111249,9563,37
M,S,111250,24
L,S,111251,9569,24
L,B,111252,9552,2
L,B,111253,9562,25
L,B,111254,9552,33
L,B,111255,9540,31
C,106985
L,S,111257,9557,7
L,S,111258,9548,33
L,B,111259,9560,19
C,106316
L,B,111261,9557,31
L,S,111262,9565,24
M,B,111263,34
L,B,111264,9549,22
L,S,111265,9553,39
L,B,111266,9558,22
L,S,111267,9555,46
L,S,111268,9540,43
L,B,111269,9563,38
L,B,111270,9552,34
L,B,111271,9560,39
M,S,111272,23
L,S,111273,9547,40
L,B,111274,9549,19
L,B,111275,9554,40
L,S,111276,9535,43
L,B,111277,9551,45
L,B,111278,9558,35
L,B,111279,9559,13
L,B,111280,9557,3
L,S,111281,9556,50
C,110492
L,B,111283,9557,16
L,S,111284,9547,44
L,S,111285,9543,42
C,110092
L,B,111287,9564,34
L,S,111288,9550,18
C,107457
L,B,111290,9549,41
L,B,111291,9553,40
C,107025
L,S,111293,9558,29
L,B,111294,9553,7
L,S,111295,9557,11
L,S,111296,9554,45
L,B,111297,9556,50
L,S,111298,9555,20
L,B,111299,9560,14
L,S,111300,9550,13
L,B,111301,9546,16
L,S,111302,9553,49
L,B,111303,9558,33
M,S,111304,24
L,B,111305,9564,32
L,B,111306,9550,16
L,S,111307,9554,17
L,B,111308,9549,7
L,B,111309,9548,44
L,B,111310,9554,21
L,B,111311,9545,19
L,B,111312,9539,48
L,S,111313,9557,44
L,B,111314,9549,3
C,111100
C,107471
L,B,111317,9563,5
L,B,111318,9549,17
L,B,111319,9559,27
L,B,111320,9551,3
L,S,111321,9550,41
C,110956
L,B,111323,9567,50
M,B,111324,18
C,110168
L,S,111326,9546,47
C,111072
M,B,111328,15
L,S,111329,9551,49
L,S,111330,9552,37
C,107574
C,109426
C,111171
L,S,111334,9552,40
L,S,111335,9543,12
L,S,111336,9551,45
L,B,111337,9554,26
L,B,111338,9547,42
L,B,111339,9556,16
C,108518
L,S,111341,9553,38
C,106906
L,B,111343,9541,23
L,B,111344,9547,18
M,B,111345,27
L,B,111346,9550,11
L,S,111347,9559,16
L,S,111348,9556,38
L,B,111349,9556,28
C,107417
M,B,111351,19
C,110774
L,S,111353,9570,1
L,B,111354,9558,8
L,S,111355,9567,26
L,S,111356,9542,29
L,B,111357,9554,22
L,B,111358,9557,12
L,S,111359,9554,12
L,S,111360,9561,45
L,B,111361,9558,39
L,S,111362,9548,26
L,B,111363,9562,25
L,B,111364,9546,7
L,B,111365,9550,46
L,S,111366,9565,33
L,B,111367,9554,15
L,S,111368,9555,50
M,S,111369,45
L,B,111370,9537,48
L,B,111371,9553,47
L,S,111372,9554,40
M,B,111373,37
L,S,111374,9552,27
L,S,111375,9552,8
L,B,111376,9554,50
M,B,111377,17
L,S,111378,9533,43
C,107758
L,B,111380,9551,39
L,B,111381,9553,23
C,106631
M,S,111383,54
L,B,111384,9543,40
C,108399
L,S,111386,9551,19
L,S,111387,9549,32
L,S,111388,9552,50
L,S,111389,9543,25
C,107236
L,B,111391,9550,1
L,S,111392,9553,46
L,B,111393,9551,36
L,B,111394,9539,16
L,S,111395,9542,42
L,B,111396,9549,7
L,B,111397,9538,21
L,B,111398,9557,10
C,107870
L,B,111400,9549,45
L,B,111401,9550,36
L,B,111402,9549,25
L,B,111403,9551,12
C,107727
L,S,111405,9553,40
L,S,111406,9551,11
M,B,111407,56
L,B,111408,9559,11
L,S,111409,9555,20
L,S,111410,9559,35
L,S,111411,9545,47
L,B,111412,9555,6
L,S,111413,9553,32
L,B,111414,9532,7
L,B,111415,9553,35
L,S,111416,9556,23
L,S,111417,9553,13
C,107646
L,S,111419,9557,35
L,B,111420,9552,37
C,108359
L,B,111422,9551,31
L,B,111423,9547,16
L,S,111424,9548,41
L,B,111425,9564,19
L,B,111426,9549,29
M,B,111427,43
L,S,111428,9537,44
L,S,111429,9551,6
L,B,111430,9545,25
L,B,111431,9554,46
L,B,111432,9558,49
L,S,111433,9553,39
L,S,111434,9564,2
L,B,111435,9543,41
L,S,111436,9541,32
L,S,111437,9532,19
L,B,111438,9556,7
L,S,111439,9542,2
L,B,111440,9548,46
C,107461
L,S,111442,9543,24
L,B,111443,9552,19
M,S,111444,51
L,B,111445,9546,21
L,B,111446,9552,3
L,S,111447,9545,49
M,S,111448,17
L,B,111449,9539,10
C,106779
L,B,111451,9557,34
L,S,111452,9555,18
L,S,111453,9545,16
C,106559
L,B,111455,9547,9
L,S,111456,9541,49
L,B,111457,9559,2
L,S,111458,9560,12
L,S,111459,9553,23
L,S,111460,9546,24
L,S,111461,9549,36
L,S,111462,9540,47
L,B,111463,9535,38
L,S,111464,9550,9
M,B,111465,60
M,B,111466,24
L,B,111467,9549,20
L,B,111468,9552,10
L,S,111469,9541,15
L,S,111470,9546,4
L,B,111471,9545,30
L,B,111472,9537,39
C,106765
L,S,111474,9546,9
L,B,111475,9551,22
L,S,111476,9547,46
L,B,111477,9550,16
C,108480
L,S,111479,9549,46
L,S,111480,9550,1
M,B,111481,45
M,B,111482,27
C,110769
L,S,111484,9549,13
L,S,111485,9543,8
L,S,111486,9545,15
L,B,111487,9561,42
L,B,111488,9549,40
L,S,111489,9545,23
L,B,111490,9543,24
L,B,111491,9544,40
L,B,111492,9551,46
L,B,111493,9545,48
L,B,111494,9545,38
L,B,111495,9555,48
M,B,111496,21
C,107325
L,B,111498,9555,25
L,S,111499,9552,27
L,B,111500,9551,32
L,S,111501,9555,10
L,B,111502,9552,7
M,S,111503,10
L,S,111504,9550,26
L,B,111505,9546,14
L,B,111506,9548,25
C,107670
L,B,111508,9559,33
L,B,111509,9557,38
C,108178
C,108036
C,107883
L,B,111513,9554,11
L,S,111514,9558,13
L,B,111515,9537,39
L,S,111516,9554,12
M,S,111517,21
L,B,111518,9545,13
L,S,111519,9562,17
M,S,111520,13
C,107038
L,S,111522,9563,2
M,B,111523,47
M,S,111524,30
L,S,111525,9545,47
L,S,111526,9541,18
L,B,111527,9553,5
L,S,111528,9552,28
L,S,111529,9537,4
L,S,111530,9551,38
C,108274
L,S,111532,9543,24
L,B,111533,9554,32
L,S,111534,9542,35
M,S,111535,20
L,B,111536,9551,9
M,S,111537,50
L,B,111538,9552,37
L,B,111539,9557,25
C,108157
L,S,111541,9555,23
L,S,111542,9547,45
L,S,111543,9561,20
L,S,111544,9546,22
L,S,111545,9551,42
L,B,111546,9561,44
L,S,111547,9541,6
L,B,111548,9547,8
C,109948
L,B,111550,9552,8
C,110500
L,S,111552,9549,34
L,S,111553,9549,47
M,S,111554,11
L,S,111555,9546,3
L,S,111556,9545,43
L,S,111557,9551,48
L,B,111558,9552,12
M,S,111559,22
L,B,111560,9540,13
M,S,111561,21
L,S,111562,9541,25
C,106977
L,B,111564,9540,5
M,S,111565,55
L,B,111566,9545,17
L,B,111567,9552,50
L,S,111568,9547,17
L,B,111569,9542,15
M,B,111570,53
C,107388
L,S,111572,9549,33
L,S,111573,9554,27
L,B,111574,9546,46
L,B,111575,9563,35
L,B,111576,9551,14
C,110740
L,S,111578,9555,46
L,S,111579,9559,6
L,B,111580,9546,41
L,B,111581,9535,10
C,108286
L,B,111583,9547,8
L,B,111584,9553,16
L,S,111585,9558,48
